ERTT	RTT
304.25	357.94
343.62	350.56
347.48	348.17
352.11	352.92
348.63	348.02
350.46	350.78
349.00	348.74
348.56	348.49
350.99	351.42
351.79	351.93
PktLossProb para alpha: 0.15 y n: 10 = 0.0
Throughput para alpha: 0.15 y n: 10 = 0.181926398785
-----------------
ERTT	RTT
250.56	357.94
320.56	350.56
339.89	348.17
349.01	352.92
348.32	348.02
350.04	350.78
349.13	348.74
348.68	348.49
350.60	351.42
351.53	351.93
PktLossProb para alpha: 0.3 y n: 10 = 0.0
Throughput para alpha: 0.3 y n: 10 = 0.182060560244
-----------------
ERTT	RTT
178.97	357.94
264.77	350.56
306.47	348.17
329.70	352.92
338.86	348.02
344.82	350.78
346.78	348.74
347.63	348.49
349.53	351.42
350.73	351.93
PktLossProb para alpha: 0.5 y n: 10 = 0.0
Throughput para alpha: 0.5 y n: 10 = 0.182477153351
-----------------
ERTT	RTT
296.74	349.11
342.61	350.70
348.58	349.63
351.59	352.12
350.55	350.37
350.95	351.02
349.77	349.56
351.25	351.52
351.68	351.75
353.20	353.47
351.01	350.62
349.68	349.45
351.01	351.25
348.67	348.26
349.56	349.71
351.27	351.57
353.99	354.47
350.87	350.32
352.41	352.68
348.60	347.93
349.54	349.70
351.30	351.61
352.28	352.45
351.30	351.13
348.70	348.24
351.62	352.14
351.62	351.62
349.91	349.61
348.09	347.77
349.20	349.40
348.98	348.94
356.94	358.35
352.51	351.73
349.41	348.87
351.47	351.83
351.65	351.68
349.10	348.65
348.39	348.27
349.11	349.24
360.96	363.05
353.79	352.53
352.90	352.74
351.67	351.46
351.72	351.73
349.99	349.68
351.49	351.75
354.29	354.78
349.68	348.86
348.45	348.23
348.32	348.30
352.26	352.96
351.79	351.70
349.68	349.31
348.07	347.79
348.67	348.77
348.01	347.90
350.23	350.62
348.67	348.40
350.48	350.80
351.46	351.63
351.68	351.72
351.78	351.80
352.09	352.15
352.62	352.71
352.33	352.28
349.06	348.48
349.63	349.73
351.11	351.37
348.70	348.27
356.06	357.36
PktLossProb para alpha: 0.15 y n: 70 = 0.0
Throughput para alpha: 0.15 y n: 70 = 0.179743839682
-----------------
ERTT	RTT
244.37	349.11
318.80	350.70
340.38	349.63
348.60	352.12
349.84	350.37
350.67	351.02
349.89	349.56
351.03	351.52
351.54	351.75
352.89	353.47
351.30	350.62
350.00	349.45
350.87	351.25
349.04	348.26
349.51	349.71
350.95	351.57
353.41	354.47
351.25	350.32
352.25	352.68
349.23	347.93
349.56	349.70
351.00	351.61
352.01	352.45
351.39	351.13
349.18	348.24
351.25	352.14
351.51	351.62
350.18	349.61
348.49	347.77
349.13	349.40
349.00	348.94
355.54	358.35
352.87	351.73
350.07	348.87
351.30	351.83
351.57	351.68
349.52	348.65
348.64	348.27
349.06	349.24
358.85	363.05
354.43	352.53
353.24	352.74
351.99	351.46
351.81	351.73
350.32	349.68
351.32	351.75
353.74	354.78
350.33	348.86
348.86	348.23
348.47	348.30
351.61	352.96
351.67	351.70
350.02	349.31
348.46	347.79
348.68	348.77
348.13	347.90
349.88	350.62
348.84	348.40
350.21	350.80
351.21	351.63
351.57	351.72
351.73	351.80
352.02	352.15
352.51	352.71
352.35	352.28
349.64	348.48
349.70	349.73
350.87	351.37
349.05	348.27
354.87	357.36
PktLossProb para alpha: 0.3 y n: 70 = 0.0
Throughput para alpha: 0.3 y n: 70 = 0.180348344874
-----------------
ERTT	RTT
174.55	349.11
262.63	350.70
306.13	349.63
329.13	352.12
339.75	350.37
345.38	351.02
347.47	349.56
349.49	351.52
350.62	351.75
352.05	353.47
351.33	350.62
350.39	349.45
350.82	351.25
349.54	348.26
349.63	349.71
350.60	351.57
352.53	354.47
351.43	350.32
352.05	352.68
349.99	347.93
349.85	349.70
350.73	351.61
351.59	352.45
351.36	351.13
349.80	348.24
350.97	352.14
351.30	351.62
350.45	349.61
349.11	347.77
349.26	349.40
349.10	348.94
353.72	358.35
352.72	351.73
350.79	348.87
351.31	351.83
351.50	351.68
350.07	348.65
349.17	348.27
349.20	349.24
356.13	363.05
354.33	352.53
353.53	352.74
352.49	351.46
352.11	351.73
350.90	349.68
351.32	351.75
353.05	354.78
350.96	348.86
349.60	348.23
348.95	348.30
350.95	352.96
351.33	351.70
350.32	349.31
349.06	347.79
348.91	348.77
348.41	347.90
349.51	350.62
348.96	348.40
349.88	350.80
350.75	351.63
351.24	351.72
351.52	351.80
351.83	352.15
352.27	352.71
352.28	352.28
350.38	348.48
350.05	349.73
350.71	351.37
349.49	348.27
353.43	357.36
PktLossProb para alpha: 0.5 y n: 70 = 0.0
Throughput para alpha: 0.5 y n: 70 = 0.181083986864
-----------------
ERTT	RTT
299.16	351.95
343.58	351.41
357.09	359.48
350.21	348.99
352.42	352.81
348.99	348.38
349.59	349.70
350.39	350.53
551.16	586.59
377.38	346.72
355.99	352.21
350.18	349.16
352.29	352.67
352.01	351.97
351.83	351.80
352.39	352.49
352.00	351.94
351.62	351.55
352.03	352.10
352.12	352.13
352.17	352.18
348.46	347.81
360.09	362.14
352.32	350.95
351.31	351.13
352.71	352.95
351.83	351.68
350.52	350.29
361.68	363.65
354.64	353.40
351.41	350.84
349.24	348.86
350.80	351.07
353.26	353.69
351.39	351.06
352.35	352.52
351.40	351.23
348.81	348.36
351.96	352.52
352.45	352.54
352.71	352.76
351.76	351.59
349.42	349.00
352.30	352.81
352.24	352.23
351.08	350.88
351.84	351.97
348.95	348.44
348.84	348.82
351.43	351.89
351.40	351.39
350.30	350.10
350.57	350.62
351.47	351.63
352.88	353.13
352.90	352.90
352.16	352.03
350.03	349.66
350.33	350.38
349.14	348.93
348.47	348.35
353.50	354.39
350.84	350.37
351.07	351.11
348.84	348.44
349.17	349.23
351.29	351.67
351.15	351.13
352.34	352.55
348.26	347.54
351.20	351.72
348.69	348.25
351.46	351.95
350.18	349.95
349.81	349.74
348.85	348.68
352.62	353.29
348.31	347.55
350.44	350.82
352.44	352.79
351.34	351.14
348.76	348.30
351.64	352.15
351.25	351.18
352.27	352.46
350.72	350.44
350.40	350.34
367.20	370.17
351.97	349.28
352.81	352.96
352.75	352.73
350.72	350.36
351.89	352.09
350.81	350.63
351.18	351.24
349.90	349.67
350.96	351.15
349.23	348.92
352.50	353.07
353.88	354.12
351.06	350.57
353.79	354.27
351.09	350.62
351.08	351.08
348.54	348.09
351.92	352.52
352.47	352.56
351.94	351.85
352.20	352.25
350.03	349.65
350.40	350.47
354.15	354.81
350.01	349.28
352.80	353.29
361.27	362.76
350.77	348.92
351.82	352.01
353.17	353.40
352.57	352.46
353.38	353.52
352.87	352.78
351.49	351.25
350.51	350.34
350.68	350.70
351.67	351.84
351.25	351.17
351.76	351.85
352.35	352.46
350.96	350.71
352.82	353.15
353.28	353.36
348.75	347.95
351.94	352.50
351.79	351.77
352.28	352.37
351.51	351.37
352.71	352.92
351.21	350.95
352.60	352.85
352.18	352.11
351.63	351.54
348.62	348.09
352.24	352.88
354.54	354.94
360.41	361.45
353.00	351.70
352.17	352.02
352.20	352.21
348.85	348.26
351.75	352.26
PktLossProb para alpha: 0.15 y n: 150 = 0.0
Throughput para alpha: 0.15 y n: 150 = 0.181948854772
-----------------
ERTT	RTT
246.37	351.95
319.90	351.41
347.61	359.48
348.57	348.99
351.54	352.81
349.33	348.38
349.59	349.70
350.25	350.53
515.68	586.59
397.41	346.72
365.77	352.21
354.14	349.16
353.11	352.67
352.31	351.97
351.95	351.80
352.33	352.49
352.05	351.94
351.70	351.55
351.98	352.10
352.09	352.13
352.15	352.18
349.11	347.81
358.23	362.14
353.14	350.95
351.73	351.13
352.59	352.95
351.95	351.68
350.79	350.29
359.79	363.65
355.32	353.40
352.18	350.84
349.85	348.86
350.71	351.07
352.80	353.69
351.58	351.06
352.24	352.52
351.54	351.23
349.31	348.36
351.56	352.52
352.24	352.54
352.61	352.76
351.90	351.59
349.87	349.00
351.93	352.81
352.14	352.23
