ERTT  RTT
354.61  417.19
358.48  359.17
312.63  304.53
278.64  272.64
269.85  268.30
282.35  284.56
297.28  299.91
306.38  307.98
394.70  410.29
328.42  316.72
PktLossProb para alpha: 0.15 y n: 10 = 0.0
Throughput para alpha: 0.15 y n: 10 = 0.194874706489
-----------------
ERTT  RTT
292.03  417.19
339.03  359.17
314.88  304.53
285.31  272.64
273.41  268.30
281.21  284.56
294.30  299.91
303.88  307.98
378.36  410.29
335.21  316.72
PktLossProb para alpha: 0.3 y n: 10 = 0.0
Throughput para alpha: 0.3 y n: 10 = 0.190923670145
-----------------
ERTT  RTT
208.59  417.19
283.88  359.17
294.21  304.53
283.42  272.64
275.86  268.30
280.21  284.56
290.06  299.91
299.02  307.98
354.65  410.29
335.69  316.72
PktLossProb para alpha: 0.5 y n: 10 = 0.0
Throughput para alpha: 0.5 y n: 10 = 0.190653993729
-----------------
ERTT  RTT
251.26  295.60
270.15  273.48
331.58  342.42
311.00  307.37
302.60  301.12
274.47  269.50
273.66  273.51
288.17  290.73
272.16  269.33
326.86  336.52
311.62  308.93
306.05  305.07
273.90  268.22
270.23  269.58
279.08  280.64
272.92  271.83
332.43  342.94
312.15  308.57
277.52  271.41
270.90  269.73
274.14  274.71
273.29  273.14
280.84  282.18
269.99  268.08
269.96  269.96
331.11  341.90
311.18  307.66
311.17  311.16
307.23  306.53
274.86  269.15
331.74  341.77
312.56  309.18
307.51  306.62
306.82  306.69
394.59  410.08
292.26  274.20
270.99  267.23
450.44  482.11
329.22  307.83
281.34  272.89
420.41  444.95
304.72  284.30
324.77  328.31
312.44  310.26
305.55  304.34
306.45  306.61
314.02  315.36
302.83  300.86
280.38  276.42
270.21  268.42
359.24  374.95
316.22  308.63
307.92  306.45
394.47  409.75
310.89  296.14
320.97  322.75
305.75  303.06
306.30  306.40
306.72  306.79
314.61  316.00
302.43  300.29
274.42  269.48
271.25  270.69
276.91  277.91
303.88  308.64
305.07  305.28
306.84  307.15
308.73  309.06
275.39  269.51
270.23  269.31
PktLossProb para alpha: 0.15 y n: 70 = 0.0
Throughput para alpha: 0.15 y n: 70 = 0.236839231245
-----------------
ERTT  RTT
206.92  295.60
253.51  273.48
315.75  342.42
309.89  307.37
303.75  301.12
279.78  269.50
275.39  273.51
286.13  290.73
274.37  269.33
317.87  336.52
311.62  308.93
307.03  305.07
279.87  268.22
272.66  269.58
278.25  280.64
273.76  271.83
322.18  342.94
312.66  308.57
283.79  271.41
273.94  269.73
274.48  274.71
273.54  273.14
279.59  282.18
271.53  268.08
270.43  269.96
320.46  341.90
311.50  307.66
311.27  311.16
307.95  306.53
280.79  269.15
323.48  341.77
313.47  309.18
308.67  306.62
307.29  306.69
379.24  410.08
305.72  274.20
278.78  267.23
421.11  482.11
341.81  307.83
293.56  272.89
399.54  444.95
318.87  284.30
325.47  328.31
314.83  310.26
307.48  304.34
306.87  306.61
312.81  315.36
304.44  300.86
284.83  276.42
273.34  268.42
344.47  374.95
319.38  308.63
310.33  306.45
379.92  409.75
321.28  296.14
322.31  322.75
308.84  303.06
307.13  306.40
306.89  306.79
313.27  316.00
304.18  300.29
279.89  269.48
273.45  270.69
276.57  277.91
299.02  308.64
303.40  305.28
306.03  307.15
308.15  309.06
281.10  269.51
272.85  269.31
PktLossProb para alpha: 0.3 y n: 70 = 0.0
Throughput para alpha: 0.3 y n: 70 = 0.234561105296
-----------------
ERTT  RTT
147.80  295.60
210.64  273.48
276.53  342.42
291.95  307.37
296.54  301.12
283.02  269.50
278.27  273.51
284.50  290.73
276.92  269.33
306.72  336.52
307.83  308.93
306.45  305.07
287.34  268.22
278.46  269.58
279.55  280.64
275.69  271.83
309.31  342.94
308.94  308.57
290.18  271.41
279.95  269.73
277.33  274.71
275.24  273.14
278.71  282.18
273.39  268.08
271.67  269.96
306.79  341.90
307.22  307.66
309.19  311.16
307.86  306.53
288.51  269.15
315.14  341.77
312.16  309.18
309.39  306.62
308.04  306.69
359.06  410.08
316.63  274.20
291.93  267.23
387.02  482.11
347.42  307.83
310.16  272.89
377.55  444.95
330.93  284.30
329.62  328.31
319.94  310.26
312.14  304.34
309.37  306.61
312.37  315.36
306.61  300.86
291.51  276.42
279.97  268.42
327.46  374.95
318.04  308.63
312.25  306.45
361.00  409.75
328.57  296.14
325.66  322.75
314.36  303.06
310.38  306.40
308.59  306.79
312.29  316.00
306.29  300.29
287.88  269.48
279.29  270.69
278.60  277.91
293.62  308.64
299.45  305.28
303.30  307.15
306.18  309.06
287.84  269.51
278.58  269.31
PktLossProb para alpha: 0.5 y n: 70 = 0.0
Throughput para alpha: 0.5 y n: 70 = 0.229737113457
-----------------
ERTT  RTT
229.60  270.12
267.16  273.79
270.04  270.55
268.67  268.43
315.18  323.39
277.60  270.97
271.05  269.89
270.57  270.49
270.11  270.02
269.71  269.65
372.26  390.36
316.32  306.45
277.37  270.49
271.36  270.30
382.80  402.47
288.57  271.94
272.82  270.04
344.80  357.50
281.61  270.45
270.86  268.96
268.61  268.21
275.50  276.72
272.39  271.84
269.43  268.90
271.65  272.04
271.17  271.09
269.64  269.37
286.64  289.64
270.82  268.03
268.68  268.31
399.90  423.06
322.78  309.17
292.41  287.05
272.52  269.02
271.97  271.87
270.30  270.00
292.41  296.31
337.18  345.08
311.04  306.43
276.09  269.92
334.44  344.74
281.53  272.20
333.33  342.47
283.45  274.65
272.30  270.33
363.39  379.47
432.32  444.49
297.71  273.95
279.73  276.56
414.87  438.72
292.05  270.38
276.93  274.27
359.19  373.71
289.16  276.80
274.04  271.38
272.03  271.68
301.78  307.03
306.41  307.22
276.41  271.11
333.13  343.14
311.18  307.31
275.73  269.48
334.70  345.10
311.11  306.95
310.50  310.39
276.57  270.58
331.21  340.86
309.92  306.16
274.60  268.36
337.39  348.48
310.88  306.20
277.88  272.06
333.52  343.33
296.05  289.44
289.72  288.60
322.47  328.24
308.55  306.09
307.39  307.19
308.67  308.89
305.93  305.45
306.17  306.21
276.59  271.36
507.45  548.19
307.54  272.26
336.81  341.97
312.34  308.02
308.37  307.67
275.26  269.42
509.33  550.63
335.59  304.93
312.39  308.30
277.55  271.40
272.09  271.13
269.20  268.69
269.08  269.06
270.41  270.64
270.28  270.25
316.83  325.04
309.24  307.90
306.65  306.20
306.56  306.55
307.25  307.37
308.04  308.18
307.38  307.27
305.98  305.74
307.87  308.20
307.48  307.41
275.70  270.09
354.71  368.66
283.08  270.43
273.12  271.37
270.95  270.57
270.86  270.84
316.90  325.03
299.33  296.22
274.63  270.28
342.21  354.14
314.53  309.64
279.17  272.93
332.20  341.56
310.32  306.46
278.79  273.22
271.29  269.97
273.68  274.10
271.59  271.23
332.33  343.05
313.31  309.95
277.56  271.25
286.85  288.48
349.77  360.87
313.14  306.68
308.29  307.44
309.19  309.35
275.89  270.02
271.63  270.88
269.12  268.68
315.26  323.41
280.57  274.45
326.25  334.31
307.93  304.70
306.60  306.36
307.02  307.09
276.97  271.66
333.48  343.46
311.89  308.08
307.54  306.77
399.44  415.65
292.68  273.84
273.45  270.06
PktLossProb para alpha: 0.15 y n: 150 = 0.00666666666667
Throughput para alpha: 0.15 y n: 150 = 65.3907141768
-----------------
ERTT  RTT
189.08  270.12
248.38  273.79
263.90  270.55
267.07  268.43
306.49  323.39
281.63  270.97
273.41  269.89
271.36  270.49
270.43  270.02
269.88  269.65
354.21  390.36
320.78  306.45
285.58  270.49
274.88  270.30
364.19  402.47
299.62  271.94
278.92  270.04
333.92  357.50
289.50  270.45
275.12  268.96
270.28  268.21
274.79  276.72
272.72  271.84
270.05  268.90
271.45  272.04
271.19  271.09
269.92  269.37
283.72  289.64
272.74  268.03
269.63  268.31
377.03  423.06
329.53  309.17
299.79  287.05
278.25  269.02
273.78  271.87
271.14  270.00
288.76  296.31
328.19  345.08
312.95  306.43
282.83  269.92
326.16  344.74
288.39  272.20
326.25  342.47
290.13  274.65
276.27  270.33
348.51  379.47
415.69  444.49
316.47  273.95
288.54  276.56
393.66  438.72
307.36  270.38
284.20  274.27
346.86  373.71
297.81  276.80
279.31  271.38
273.97  271.68
297.11  307.03
304.19  307.22
281.04  271.11
324.51  343.14
312.47  307.31
282.37  269.48
326.28  345.10
312.75  306.95
311.10  310.39
282.74  270.58
323.42  340.86
311.34  306.16
281.26  268.36
328.31  348.48
312.83  306.20
284.29  272.06
325.62  343.33
300.29  289.44
292.11  288.60
317.40  328.24
309.48  306.09
307.88  307.19
308.59  308.89
306.39  305.45
306.27  306.21
281.83  271.36
468.29  548.19
331.07  272.26
338.70  341.97
317.22  308.02
310.54  307.67
281.76  269.42
469.97  550.63
354.44  304.93
322.14  308.30
286.62  271.40
275.78  271.13
270.82  268.69
269.59  269.06
270.33  270.64
270.28  270.25
308.61  325.04
308.11  307.90
306.77  306.20
306.61  306.55
307.14  307.37
307.87  308.18
307.45  307.27
306.25  305.74
307.61  308.20
307.47  307.41
281.31  270.09
342.45  368.66
292.04  270.43
277.57  271.37
272.67  270.57
271.39  270.84
308.94  325.03
300.04  296.22
279.20  270.28
331.66  354.14
316.25  309.64
285.93  272.93
324.87  341.56
311.98  306.46
284.85  273.22
274.43  269.97
274.20  274.10
272.12  271.23
321.77  343.05
313.50  309.95
283.93  271.25
287.12  288.48
338.74  360.87
316.30  306.68
310.09  307.44
309.57  309.35
281.88  270.02
274.18  270.88
270.33  268.68
307.48  323.41
284.36  274.45
319.32  334.31
309.09  304.70
307.18  306.36
307.12  307.09
282.30  271.66
325.11  343.46
313.19  308.08
308.70  306.77
383.57  415.65
306.76  273.84
281.07  270.06
PktLossProb para alpha: 0.3 y n: 150 = 0.00666666666667
Throughput para alpha: 0.3 y n: 150 = 63.6187737037
-----------------
ERTT  RTT
135.06  270.12
204.42  273.79
237.49  270.55
252.96  268.43
288.17  323.39
279.57  270.97
274.73  269.89
272.61  270.49
271.32  270.02
270.48  269.65
330.42  390.36
318.43  306.45
294.46  270.49
282.38  270.30
342.43  402.47
307.18  271.94
288.61  270.04
323.06  357.50
296.76  270.45
282.86  268.96
275.53  268.21
276.12  276.72
273.98  271.84
271.44  268.90
271.74  272.04
271.42  271.09
270.39  269.37
280.02  289.64
274.02  268.03
271.16  268.31
347.11  423.06
328.14  309.17
307.59  287.05
288.30  269.02
280.09  271.87
275.05  270.00
285.68  296.31
315.38  345.08
310.90  306.43
290.41  269.92
317.57  344.74
294.89  272.20
318.68  342.47
296.66  274.65
283.49  270.33
331.48  379.47
387.98  444.49
330.97  273.95
303.76  276.56
371.24  438.72
320.81  270.38
297.54  274.27
335.62  373.71
306.21  276.80
288.79  271.38
280.24  271.68
293.63  307.03
300.43  307.22
285.77  271.11
314.46  343.14
310.88  307.31
290.18  269.48
317.64  345.10
312.29  306.95
311.34  310.39
290.96  270.58
315.91  340.86
311.04  306.16
289.70  268.36
319.09  348.48
312.64  306.20
292.35  272.06
317.84  343.33
303.64  289.44
296.12  288.60
312.18  328.24
309.14  306.09
308.16  307.19
308.53  308.89
306.99  305.45
306.60  306.21
288.98  271.36
418.59  548.19
345.42  272.26
343.70  341.97
325.86  308.02
316.76  307.67
293.09  269.42
421.86  550.63
363.40  304.93
335.85  308.30
303.62  271.40
287.38  271.13
278.03  268.69
273.55  269.06
272.10  270.64
271.17  270.25
298.11  325.04
303.00  307.90
304.60  306.20
305.57  306.55
306.47  307.37
307.33  308.18
307.30  307.27
306.52  305.74
307.36  308.20
307.38  307.41
288.74  270.09
328.70  368.66
299.57  270.43
285.47  271.37
278.02  270.57
274.43  270.84
299.73  325.03
297.98  296.22
284.13  270.28
319.13  354.14
314.39  309.64
293.66  272.93
317.61  341.56
312.03  306.46
292.63  273.22
281.30  269.97
277.70  274.10
274.46  271.23
308.76  343.05
309.35  309.95
290.30  271.25
289.39  288.48
325.13  360.87
315.90  306.68
311.67  307.44
310.51  309.35
290.26  270.02
280.57  270.88
274.63  268.68
299.02  323.41
286.73  274.45
310.52  334.31
