ERTT  RTT
408.11  480.13
329.47  315.59
355.26  359.81
327.89  323.06
323.91  323.21
316.61  315.32
349.95  355.83
348.17  347.85
311.00  304.44
307.94  307.39
PktLossProb para alpha: 0.15 y n: 10 = 0.0
Throughput para alpha: 0.15 y n: 10 = 207.835510686
-----------------
ERTT  RTT
336.09  480.13
321.74  315.59
348.39  359.81
330.66  323.06
325.44  323.21
318.36  315.32
344.59  355.83
346.87  347.85
317.17  304.44
310.33  307.39
PktLossProb para alpha: 0.3 y n: 10 = 0.0
Throughput para alpha: 0.3 y n: 10 = 206.233477344
-----------------
ERTT  RTT
240.06  480.13
277.83  315.59
318.82  359.81
320.94  323.06
322.07  323.21
318.70  315.32
337.26  355.83
342.56  347.85
323.50  304.44
315.45  307.39
PktLossProb para alpha: 0.5 y n: 10 = 0.0
Throughput para alpha: 0.5 y n: 10 = 202.886369281
-----------------
ERTT  RTT
274.03  322.39
297.49  301.63
306.59  308.20
307.14  307.24
391.60  406.51
371.09  367.47
395.20  399.46
326.63  314.53
310.19  307.28
307.79  307.36
314.43  315.60
297.67  294.72
407.69  427.10
371.22  364.79
307.93  296.76
354.69  362.94
320.23  314.15
308.77  306.75
303.50  302.57
302.23  302.01
316.83  319.41
321.20  321.97
299.77  295.99
296.06  295.40
306.71  308.59
294.89  292.81
317.58  321.58
299.09  295.82
311.78  314.03
302.39  300.73
330.32  335.25
374.16  381.90
307.39  295.60
311.83  312.61
310.86  310.69
328.69  331.83
308.38  304.79
300.45  299.05
319.93  323.37
305.67  303.16
329.73  333.98
316.19  313.80
306.32  304.58
299.44  298.22
300.18  300.31
395.03  411.76
320.72  307.61
306.67  304.19
304.44  304.05
296.12  294.65
294.00  293.63
295.96  296.30
299.22  299.80
302.19  302.71
301.33  301.17
299.23  298.86
302.47  303.04
294.92  293.59
307.68  309.93
308.84  309.05
301.18  299.83
306.11  306.98
310.13  310.84
308.67  308.41
298.06  296.18
298.47  298.54
PktLossProb para alpha: 0.15 y n: 70 = 0.0571428571429
Throughput para alpha: 0.15 y n: 70 = 20.4632577565
-----------------
ERTT  RTT
225.67  322.39
278.84  301.63
299.39  308.20
304.88  307.24
376.02  406.51
370.04  367.47
390.63  399.46
337.36  314.53
316.31  307.28
310.05  307.36
313.94  315.60
300.48  294.72
389.12  427.10
372.09  364.79
319.36  296.76
349.86  362.94
324.87  314.15
312.18  306.75
305.45  302.57
303.04  302.01
314.50  319.41
319.73  321.97
303.11  295.99
297.71  295.40
305.33  308.59
296.56  292.81
314.08  321.58
301.30  295.82
310.21  314.03
303.58  300.73
325.75  335.25
365.05  381.90
316.44  295.60
313.76  312.61
311.61  310.69
325.76  331.83
311.08  304.79
302.66  299.05
317.15  323.37
307.36  303.16
325.99  333.98
317.46  313.80
308.44  304.58
301.29  298.22
300.61  300.31
378.42  411.76
328.85  307.61
311.59  304.19
306.31  304.05
298.15  294.65
294.98  293.63
295.91  296.30
298.63  299.80
301.49  302.71
301.27  301.17
299.58  298.86
302.00  303.04
296.11  293.59
305.79  309.93
308.07  309.05
302.30  299.83
305.58  306.98
309.26  310.84
308.66  308.41
299.93  296.18
298.96  298.54
PktLossProb para alpha: 0.3 y n: 70 = 0.0571428571429
Throughput para alpha: 0.3 y n: 70 = 20.4297943215
-----------------
ERTT  RTT
161.19  322.39
231.41  301.63
269.81  308.20
288.52  307.24
347.51  406.51
357.49  367.47
378.48  399.46
346.50  314.53
326.89  307.28
317.13  307.36
316.37  315.60
305.54  294.72
366.32  427.10
365.56  364.79
331.16  296.76
347.05  362.94
330.60  314.15
318.67  306.75
310.62  302.57
306.31  302.01
312.86  319.41
317.42  321.97
306.70  295.99
301.05  295.40
304.82  308.59
298.81  292.81
310.20  321.58
303.01  295.82
308.52  314.03
304.63  300.73
319.94  335.25
350.92  381.90
323.26  295.60
317.94  312.61
314.31  310.69
323.07  331.83
313.93  304.79
306.49  299.05
314.93  323.37
309.04  303.16
321.51  333.98
317.66  313.80
311.12  304.58
304.67  298.22
302.49  300.31
357.13  411.76
332.37  307.61
318.28  304.19
311.16  304.05
302.91  294.65
298.27  293.63
297.28  296.30
298.54  299.80
300.63  302.71
300.90  301.17
299.88  298.86
301.46  303.04
297.52  293.59
303.73  309.93
306.39  309.05
303.11  299.83
305.04  306.98
307.94  310.84
308.17  308.41
302.18  296.18
300.36  298.54
PktLossProb para alpha: 0.5 y n: 70 = 0.0571428571429
Throughput para alpha: 0.5 y n: 70 = 20.33434561
-----------------
ERTT  RTT
249.87  293.96
301.08  310.12
352.87  362.01
315.09  308.42
306.73  305.26
346.39  353.38
304.02  296.55
323.20  326.58
325.24  325.60
308.64  305.71
297.10  295.06
327.75  333.15
305.63  301.73
314.11  315.61
299.10  296.45
299.46  299.52
296.01  295.40
296.41  296.48
296.74  296.80
293.56  293.00
312.42  315.75
296.31  293.46
300.69  301.46
305.16  305.95
307.38  307.78
305.57  305.25
298.66  297.45
