ERTT	RTT
335.60	394.82
349.50	351.96
351.62	351.99
382.50	387.95
353.16	347.98
352.12	351.94
348.60	347.98
368.47	371.97
351.03	347.95
355.24	355.98
PktLossProb para alpha: 0.15 y n: 10 = 0.0
Throughput para alpha: 0.15 y n: 10 = 0.180159493955
-----------------
ERTT	RTT
276.38	394.82
329.28	351.96
345.18	351.99
375.12	387.95
356.12	347.98
353.19	351.94
349.55	347.98
365.25	371.97
353.14	347.95
355.13	355.98
PktLossProb para alpha: 0.3 y n: 10 = 0.0
Throughput para alpha: 0.3 y n: 10 = 0.180215297295
-----------------
ERTT	RTT
197.41	394.82
274.68	351.96
313.34	351.99
350.64	387.95
349.31	347.98
350.62	351.94
349.30	347.98
360.64	371.97
354.30	347.95
355.14	355.98
PktLossProb para alpha: 0.5 y n: 10 = 0.0
Throughput para alpha: 0.5 y n: 10 = 0.180210802578
-----------------
ERTT	RTT
299.16	351.95
340.64	347.96
346.87	347.98
344.42	343.98
350.85	351.98
348.39	347.96
365.07	368.02
353.90	351.93
348.86	347.97
358.30	359.96
349.49	347.94
348.23	348.00
354.79	355.95
369.39	371.97
371.55	371.93
382.11	383.98
373.51	371.99
361.98	359.94
387.49	391.99
357.23	351.89
356.14	355.95
355.96	355.93
349.17	347.97
348.15	347.98
361.66	364.04
356.74	355.87
345.89	343.98
398.71	408.03
379.30	375.87
379.86	379.96
356.15	351.96
355.99	355.97
352.52	351.91
355.47	355.99
359.29	359.96
356.57	356.09
345.71	343.79
357.84	359.98
356.22	355.94
352.59	351.94
352.10	352.01
362.16	363.94
360.27	359.94
353.25	352.01
348.73	347.93
351.49	351.98
365.49	367.96
353.99	351.96
352.29	351.99
358.84	360.00
352.95	351.91
348.73	347.98
348.08	347.97
347.98	347.96
358.18	359.98
376.71	379.98
355.67	351.95
369.54	371.98
351.19	347.95
348.45	347.97
348.05	347.98
344.59	343.98
357.66	359.97
349.43	347.98
348.15	347.93
351.40	351.97
348.48	347.96
348.03	347.95
344.59	343.98
347.46	347.97
PktLossProb para alpha: 0.15 y n: 70 = 0.0
Throughput para alpha: 0.15 y n: 70 = 0.18419448841
-----------------
ERTT	RTT
246.36	351.95
317.48	347.96
338.83	347.98
342.44	343.98
349.12	351.98
348.31	347.96
362.10	368.02
354.98	351.93
350.08	347.97
357.00	359.96
350.65	347.94
348.80	348.00
353.80	355.95
366.52	371.97
370.31	371.93
379.88	383.98
374.36	371.99
364.27	359.94
383.67	391.99
361.43	351.89
357.59	355.95
